K,Horizon,Mean_DirAcc,Mean_MAE,Mean_RMSE
2,1,0.529,0.0086,0.0127
2,5,0.569,0.0192,0.0270
2,10,0.591,0.0267,0.0375
2,20,0.618,0.0374,0.0525
2,40,0.655,0.0508,0.0694
2,50,0.677,0.0560,0.0760
2,70,0.707,0.0636,0.0852
2,100,0.737,0.0733,0.0980
3,1,0.529,0.0086,0.0127
3,5,0.569,0.0192,0.0270
3,10,0.591,0.0267,0.0375
3,20,0.618,0.0374,0.0525
3,40,0.656,0.0508,0.0695
3,50,0.677,0.0563,0.0763
3,70,0.711,0.0638,0.0856
3,100,0.733,0.0736,0.0984
4,1,0.529,0.0086,0.0127
4,5,0.569,0.0192,0.0270
4,10,0.591,0.0267,0.0375
4,20,0.618,0.0374,0.0525
4,40,0.657,0.0507,0.0693
4,50,0.679,0.0563,0.0762
4,70,0.705,0.0641,0.0859
4,100,0.735,0.0734,0.0983
